,DATEMONTHINT,STATION,RIDERS_PER_WEEKDAY
4618,201502,Arlington Cemetery,333.5
4527,201501,Arlington Cemetery,418.7
5528,201512,Arlington Cemetery,563.2
5437,201511,Arlington Cemetery,754.1
4654,201502,Greensboro,869.7
4563,201501,Greensboro,920.8
5564,201512,Greensboro,957.5
4745,201503,Greensboro,958.6
5596,201512,Spring Hill,1036.2
5200,201508,Greensboro,1046.0
4686,201502,Spring Hill,1056.5
5473,201511,Greensboro,1057.8
4927,201505,Greensboro,1075.0
4836,201504,Greensboro,1078.4
5291,201509,Greensboro,1087.4
5537,201512,Cheverly,1089.2
5382,201510,Greensboro,1094.8
4595,201501,Spring Hill,1113.0
5505,201511,Spring Hill,1134.1
5446,201511,Cheverly,1145.3
5109,201507,Greensboro,1168.4
5255,201509,Arlington Cemetery,1181.5
4777,201503,Spring Hill,1183.5
5018,201506,Greensboro,1188.7
4627,201502,Cheverly,1203.9
5323,201509,Spring Hill,1216.6
5173,201508,Cheverly,1218.1
5414,201510,Spring Hill,1219.8
5355,201510,Cheverly,1222.5
5264,201509,Cheverly,1230.9
4536,201501,Cheverly,1231.5
5346,201510,Arlington Cemetery,1239.2
4718,201503,Cheverly,1258.0
5232,201508,Spring Hill,1273.5
4662,201502,McLean,1281.2
5545,201512,Deanwood,1291.9
4709,201503,Arlington Cemetery,1305.5
4809,201504,Cheverly,1347.8
5454,201511,Deanwood,1352.4
4571,201501,McLean,1355.5
4900,201505,Cheverly,1357.4
5363,201510,Deanwood,1365.4
4991,201506,Cheverly,1380.0
5550,201512,Eisenhower Avenue,1383.8
5082,201507,Cheverly,1386.1
5181,201508,Deanwood,1394.1
5272,201509,Deanwood,1406.5
4959,201505,Spring Hill,1408.3
4868,201504,Spring Hill,1412.3
5572,201512,McLean,1424.7
