STATION,RIDERS_PER_WEEKDAY
Addison Road,3151.558333333333
Anacostia,6912.066666666666
Archives-Navy Memorial,8630.691666666668
Arlington Cemetery,1359.3083333333336
Ballston,11074.183333333332
Benning Road,2902.6749999999997
Bethesda,10044.441666666668
Braddock Road,4544.900000000001
Branch Avenue,5753.108333333333
Brookland,6471.341666666666
Capitol Heights,1943.2333333333338
Capitol South,7450.024999999999
Cheverly,1255.8916666666667
Clarendon,4594.349999999999
Cleveland Park,4088.8083333333325
College Park-U of MD,4245.858333333333
Columbia Heights,11813.533333333333
Congress Heights,2487.808333333333
Court House,7183.458333333335
Crystal City,11628.699999999999
Deanwood,1457.25
Dunn Loring,4167.325
Dupont Circle,19248.916666666664
East Falls Church,4136.008333333332
Eastern Market,5718.599999999999
Eisenhower Avenue,1618.7916666666667
Farragut North,23566.099999999995
Farragut West,21152.45
Federal Center SW,5130.141666666666
Federal Triangle,7924.566666666668
Foggy Bottom,20717.791666666664
Forest Glen,2274.65
Fort Totten,7504.383333333332
Franconia-Springfield,7336.9833333333345
Friendship Heights,8894.749999999998
Gallery Place-Chinatown,24890.833333333332
Georgia Avenue-Petworth,6025.05
Glenmont,5883.875
Greenbelt,6016.808333333333
Greensboro,1041.925
Grosvenor,5319.874999999999
Huntington,7503.108333333334
Judiciary Square,8528.216666666665
King St-Old Town,8161.95
L'Enfant Plaza,19635.566666666666
Landover,1791.3
Largo Town Center,4556.441666666667
McLean,1584.2083333333333
McPherson Square,14821.974999999997
Medical Center,5558.158333333333
Metro Center,25659.566666666666
Minnesota Avenue,2545.0249999999996
Morgan Blvd.,2036.8333333333333
Mt. Vernon Square-UDC,4473.283333333334
Navy Yard-Ballpark,8463.683333333334
Naylor Road,2669.25
New Carrollton,7736.025000000001
NoMa-Gallaudet U,9030.458333333332
Pentagon,14470.766666666665
Pentagon City,13355.574999999999
Potomac Avenue,3591.6750000000006
Prince George's Plaza,4692.216666666666
Reagan Washington National Airport,6417.133333333332
Rhode Island Avenue,5696.591666666666
Rockville,4297.433333333333
Rosslyn,14253.175000000001
Shady Grove,11834.358333333335
Shaw-Howard University,5032.383333333333
Silver Spring,12353.816666666668
Smithsonian,9933.8
Southern Avenue,4821.816666666667
Spring Hill,1248.2416666666668
Stadium-Armory,2598.1
Suitland,5099.408333333333
Takoma,5354.616666666667
Tenleytown-AU,6398.383333333334
Twinbrook,4176.458333333333
Tysons Corner,3059.6
U Street-Cardozo,7090.175
Union Station,29807.150000000005
Van Dorn Street,3122.4166666666665
Van Ness-UDC,6077.299999999999
Vienna,10478.991666666667
Virginia Square-GMU,3873.766666666667
Waterfront,3972.341666666667
West Falls Church,2859.2333333333336
West Hyattsville,3629.3416666666667
Wheaton,3983.5750000000003
White Flint,3680.2916666666665
Wiehle,7976.516666666666
Woodley Park-Zoo,6553.708333333333
