,STATION,RIDERS_PER_WEEKDAY,Lat,Lon
0,Addison Road,3330.1727272727285,38.886713,-76.893592
1,Anacostia,7126.998484848486,38.862072,-76.995648
2,Archives-Navy Memorial,8937.07727272727,38.893893,-77.021902
3,Arlington Cemetery,1295.2939393939396,38.884574,-77.063108
4,Ballston,11515.807575757575,38.882071,-77.111845
5,Benning Road,3042.9803030303037,38.890488,-76.938291
6,Bethesda,10332.924242424244,38.984282,-77.094431
7,Braddock Road,4431.3090909090915,38.814009,-77.053763
8,Branch Avenue,6283.409090909089,38.826995,-76.912134
9,Brookland,6728.457575757575,38.933234,-76.994544
10,Capitol Heights,2018.1015151515148,38.889757,-76.913382
11,Capitol South,8041.365151515151,38.884968,-77.005137
12,Cheverly,1430.4106060606064,38.91652,-76.915427
13,Clarendon,4574.533333333333,38.886373,-77.096963
14,Cleveland Park,4413.39090909091,38.934703,-77.058226
15,Columbia Heights,12177.016666666665,38.928672,-77.032775
16,Congress Heights,2714.277272727273,38.845334,-76.98817
17,Court House,7398.727272727274,38.891499,-77.08391
18,Crystal City,12683.1696969697,38.85779,-77.050589
19,Deanwood,1642.5833333333328,38.907734,-76.936177
20,Dunn Loring,4830.633333333332,38.883015,-77.228939
21,Dupont Circle,20246.119696969694,38.909499,-77.04362
22,East Falls Church,4055.956060606061,38.885841,-77.157177
23,Eastern Market,5933.75606060606,38.884124,-76.995334
24,Eisenhower Avenue,1852.7227272727273,38.800313,-77.071173
25,Farragut North,24265.968181818185,38.903192,-77.039766
26,Farragut West,21778.980303030305,38.901311,-77.03981
27,Federal Center SW,5651.609090909089,38.884958,-77.01586
28,Federal Triangle,8932.03181818182,38.893757,-77.028218
29,Foggy Bottom,21255.2393939394,38.900599,-77.050273
30,Forest Glen,2329.180303030303,39.015413,-77.042953
31,Fort Totten,7381.598484848485,38.951777,-77.002174
32,Franconia-Springfield,8306.418181818182,38.766129,-77.168797
33,Friendship Heights,9255.365151515147,38.960744,-77.085969
34,Gallery Place-Chinatown,25895.813636363644,38.89834,-77.021851
35,Georgia Avenue-Petworth,5962.6833333333325,38.936077,-77.024728
36,Glenmont,5889.021212121214,39.061713,-77.05341
37,Greenbelt,6486.257575757576,39.011036,-76.911362
38,Greensboro,808.4666666666667,38.919749,-77.235192
39,Grosvenor,5580.26515151515,39.029158,-77.10415
40,Huntington,8250.006060606062,38.793841,-77.075301
41,Judiciary Square,9012.972727272729,38.896084,-77.016643
42,King St-Old Town,8563.609090909093,38.806474,-77.061115
43,L'Enfant Plaza,20265.17575757576,38.884775,-77.021964
44,Landover,2100.44393939394,38.934411,-76.890988
45,Largo Town Center,4834.959090909091,38.9008,-76.8449
46,McLean,1142.273076923077,38.924478,-77.210167
47,McPherson Square,15756.046969696969,38.901316,-77.033652
48,Medical Center,5841.453030303032,38.999947,-77.097253
49,Metro Center,27283.763636363637,38.898303,-77.028099
50,Mt. Vernon Square-UDC,4238.868181818181,38.905604,-77.022256
51,Navy Yard-Ballpark,8128.203030303029,38.876588,-77.005086
52,Naylor Road,2909.8272727272747,38.851187,-76.956565
53,New Carrollton,8890.13181818182,38.947674,-76.872144
54,NoMa-Gallaudet U,8087.780303030305,38.907407,-77.002961
55,Pentagon,15787.593939393933,38.869349,-77.054013
56,Pentagon City,15074.515151515148,38.863045,-77.059507
57,Potomac Avenue,3746.5090909090914,38.880841,-76.985721
58,Prince George's Plaza,4986.554545454545,38.965276,-76.956182
59,Reagan Washington National Airport,6111.6606060606055,38.852985,-77.043805
60,Rhode Island Avenue,5473.766666666666,38.920741,-76.99598399999999
61,Rockville,4627.1909090909085,39.084215,-77.146424
62,Rosslyn,15460.854545454538,38.896595,-77.07146
63,Shady Grove,12889.995454545457,39.119819,-77.164921
64,Shaw-Howard University,4901.666666666667,38.912919,-77.022194
65,Silver Spring,12710.677272727275,38.993841,-77.031321
66,Smithsonian,10887.47575757576,38.888022,-77.028232
67,Southern Avenue,5305.531818181818,38.840974,-76.97536
68,Spring Hill,1076.072727272727,38.929273,-77.241988
69,Stadium-Armory,2848.8212121212123,38.88594,-76.977485
70,Suitland,5762.116666666666,38.843891,-76.932022
71,Takoma,5693.5969696969705,38.975532,-77.017834
72,Tenleytown-AU,6969.25909090909,38.947808,-77.079615
73,Twinbrook,4377.124242424244,39.062359,-77.121113
74,Tysons Corner,2306.84,38.920056,-77.223314
75,U Street-Cardozo,7055.924242424243,38.916489,-77.028938
76,Union Station,31481.80757575757,38.897723,-77.006745
77,Van Dorn Street,3367.707575757576,38.799193,-77.129407
78,Van Ness-UDC,6672.422727272727,38.94362,-77.063511
79,Vienna,12425.196969696963,38.877693,-77.271562
80,Virginia Square-GMU,3830.603030303031,38.88331,-77.104267
81,Waterfront,4066.3121212121205,38.876221,-77.017491
82,West Falls Church,8222.489393939395,38.90067,-77.189394
83,West Hyattsville,3724.9196969696973,38.954931,-76.969881
84,Wheaton,4126.212121212121,39.038558,-77.051098
85,White Flint,3883.5242424242406,39.048043,-77.113131
86,Wiehle,6069.376000000001,38.947753,-77.340179
